NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.4,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.4,
Experiment Name,sample1bloom 2024-07-11 11-17-27.nano,
Operator Name,kasson,
Time Captured,11:17:27  11/07/2024,
Sample Description,bloom-heat1,
Pre-treatment,,
Diluent,10x,
Remarks,,
,,
,,,,,
Filename:,sample1bloom 2024-07-11 11-17-46,sample1bloom 2024-07-11 11-18-57,sample1bloom 2024-07-11 11-20-07,sample1bloom 2024-07-11 11-21-17,sample1bloom 2024-07-11 11-22-27,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,19.800,19.862,19.892,19.924,19.957,
Viscosity/cP,1.004909,1.003383,1.002646,1.001861,1.001052,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,14,14,14,14,14,
Slider Shutter,1259,1259,1259,1259,1259,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.480000,31.480000,31.480000,31.480000,31.480000,
Camera Histogram Upper Limit,6588,6588,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.0000,12.0000,12.0000,12.0000,12.0000,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
43.5,0,54630,0,35,364828,83899,71024,
44.5,0,83048,0,18,247478,66109,48109,
45.5,0,116002,0,9,151978,53598,33309,
46.5,0,148928,0,5,85480,46883,30411,
47.5,0,175920,0,3,44527,44090,34067,
48.5,0,191518,0,1,21712,42646,37455,
49.5,0,192597,0,0,10010,40522,38068,
50.5,0,179412,0,0,4405,36764,35672,
51.5,0,155321,0,0,1867,31438,30973,
52.5,0,125421,0,0,768,25238,25046,
53.5,0,94840,0,0,309,19030,18953,
54.5,0,67443,0,0,123,13513,13483,
55.5,0,45304,0,0,48,9070,9058,
56.5,0,28880,0,0,19,5780,5775,
57.5,0,17553,0,0,7,3512,3510,
58.5,0,10221,0,0,3,2045,2044,
59.5,0,5730,0,0,1,1146,1146,
60.5,0,3108,0,0,0,622,622,
61.5,0,1639,0,0,0,328,328,
62.5,0,844,0,0,0,169,169,
63.5,0,427,0,0,0,85,85,
64.5,0,213,0,0,0,43,43,
65.5,0,105,0,0,0,21,21,
66.5,0,52,0,0,0,10,10,
67.5,0,26,0,0,0,5,5,
68.5,0,13,0,0,0,3,3,
69.5,0,6,0,0,0,1,1,
70.5,0,3,0,0,0,0,0,
71.5,0,2,0,0,0,0,0,
72.5,0,0,0,0,0,0,0,
73.5,0,0,0,0,0,0,0,
74.5,0,0,0,0,0,0,0,
75.5,0,0,0,0,0,0,0,
76.5,0,0,0,0,0,0,0,
77.5,0,0,0,0,0,0,0,
78.5,0,0,0,0,0,0,0,
79.5,0,0,0,0,0,0,0,
80.5,0,0,0,0,0,0,0,
81.5,0,0,0,0,0,0,0,
82.5,0,0,0,0,0,0,0,
83.5,0,0,0,0,0,0,0,
84.5,0,0,0,0,0,0,0,
85.5,0,0,0,0,0,0,0,
86.5,0,0,0,0,0,0,0,
87.5,0,0,0,0,0,0,0,
88.5,0,0,0,0,0,0,0,
89.5,0,0,0,0,0,0,0,
90.5,0,0,0,0,0,0,0,
91.5,0,0,0,0,0,0,0,
92.5,0,0,0,0,0,0,0,
93.5,0,0,0,0,0,0,0,
94.5,0,0,0,0,0,0,0,
95.5,0,0,0,0,0,0,0,
96.5,0,0,0,0,0,0,0,
97.5,0,0,0,0,0,0,0,
98.5,0,0,0,0,0,0,0,
99.5,0,0,0,0,0,0,0,
100.5,0,0,0,0,0,0,0,
101.5,0,2,0,0,0,0,0,
102.5,0,3,0,0,0,0,0,
103.5,0,6,0,0,0,1,1,
104.5,0,10,0,0,0,2,2,
105.5,0,19,0,0,0,4,4,
106.5,0,34,0,0,0,7,7,
107.5,0,61,0,0,0,12,12,
108.5,0,108,0,0,0,22,22,
109.5,0,191,0,0,0,38,38,
110.5,0,332,0,0,0,66,66,
111.5,0,567,0,0,0,113,113,
112.5,0,951,0,0,0,190,190,
113.5,0,1563,0,0,0,313,313,
114.5,0,2511,0,0,0,502,502,
115.5,0,3936,0,0,0,787,787,
116.5,0,6012,0,0,0,1202,1202,
117.5,0,8934,0,0,0,1787,1787,
118.5,0,12904,0,0,0,2581,2581,
119.5,0,18096,0,0,0,3619,3619,
120.5,0,24617,0,0,0,4923,4923,
121.5,0,32460,0,0,0,6492,6492,
122.5,0,41464,0,0,0,8293,8293,
123.5,0,51285,0,0,0,10257,10257,
124.5,0,61396,0,0,0,12279,12279,
125.5,0,71124,0,0,0,14225,14225,
126.5,0,79717,0,0,0,15943,15943,
127.5,0,86440,0,0,0,17288,17288,
128.5,0,90684,0,0,0,18137,18137,
129.5,0,92055,0,0,0,18411,18411,
130.5,0,90439,0,0,0,18088,18088,
131.5,0,86014,0,0,0,17203,17203,
132.5,0,79221,0,0,0,15844,15844,
133.5,0,70687,0,0,0,14137,14137,
134.5,0,61132,0,0,0,12226,12226,
135.5,0,51269,0,0,0,10254,10254,
136.5,0,41719,0,0,0,8344,8344,
137.5,0,32959,0,0,0,6592,6592,
138.5,0,25296,0,0,0,5059,5059,
139.5,0,18875,0,0,0,3775,3775,
140.5,0,13701,0,0,0,2740,2740,
141.5,0,9682,0,0,0,1937,1936,
142.5,0,6667,2,0,0,1334,1333,
143.5,0,4476,4,0,0,896,895,
144.5,0,2933,8,0,0,588,586,
145.5,0,1877,17,0,0,379,375,
146.5,0,1174,35,0,0,242,233,
147.5,0,719,68,0,0,157,141,
148.5,0,431,127,0,0,112,83,
149.5,0,253,232,0,0,97,59,
150.5,0,146,410,0,0,111,80,
151.5,0,82,703,0,0,157,137,
152.5,0,46,1172,0,0,243,232,
153.5,0,25,1896,0,0,384,378,
154.5,0,13,2980,0,0,599,595,
155.5,0,7,4551,0,0,912,910,
156.5,0,4,6756,0,0,1352,1351,
157.5,0,2,9751,0,0,1950,1950,
158.5,0,0,13686,0,0,2737,2737,
159.5,0,0,18687,0,0,3737,3737,
160.5,0,0,24828,0,0,4966,4966,
161.5,0,0,32110,0,0,6422,6422,
162.5,0,0,40432,0,0,8086,8086,
163.5,0,0,49586,0,0,9917,9917,
164.5,0,0,59244,0,0,11849,11849,
165.5,0,0,68981,0,0,13796,13796,
166.5,0,0,78296,0,0,15659,15659,
167.5,0,0,86658,0,0,17332,17332,
168.5,0,0,93557,0,0,18711,18711,
169.5,0,0,98552,0,0,19710,19710,
170.5,0,0,101327,0,0,20265,20265,
171.5,0,0,101716,0,0,20343,20343,
172.5,0,0,99723,0,0,19945,19945,
173.5,0,0,95519,0,0,19104,19104,
174.5,0,0,89415,0,0,17883,17883,
175.5,0,0,81828,0,0,16366,16366,
176.5,0,0,73235,0,0,14647,14647,
177.5,0,0,64121,0,0,12824,12824,
178.5,0,0,54941,0,0,10988,10988,
179.5,0,0,46086,0,0,9217,9217,
180.5,0,0,37859,0,0,7572,7572,
181.5,0,0,30468,0,0,6094,6094,
182.5,0,0,24031,0,0,4806,4806,
183.5,0,0,18583,0,0,3717,3717,
184.5,0,0,14094,0,0,2819,2819,
185.5,0,0,10487,0,0,2097,2097,
186.5,0,0,7660,0,0,1532,1532,
187.5,0,0,5494,0,0,1099,1099,
188.5,0,0,3871,0,0,774,774,
189.5,0,0,2680,0,0,536,536,
190.5,0,0,1825,0,0,365,365,
191.5,0,0,1222,0,0,244,244,
192.5,0,0,805,0,0,161,161,
193.5,0,0,522,0,0,104,104,
194.5,0,0,334,0,0,67,67,
195.5,0,0,210,0,0,42,42,
196.5,0,0,131,0,0,26,26,
197.5,0,0,80,0,0,16,16,
198.5,0,0,48,0,0,10,10,
199.5,0,0,29,0,0,6,6,
200.5,0,0,17,0,0,3,3,
201.5,0,0,10,0,0,2,2,
202.5,0,0,6,0,0,1,1,
203.5,0,0,3,0,0,0,0,
